SKU,Danh mục,Danh mục con,Tên sản phẩm,Thông số kỹ thuật,Xuất xứ,Giá (VNĐ)
PLY-0026,Puly truyền động,Puly 2B,Puly 2B Dày Ø120mm,Đường kính: 120mm | Loại: 2B Dày,,120000
PLY-0027,Puly truyền động,Puly 3B,Puly 3B Đặc Ø120mm,Đường kính: 120mm | Loại: 3B Đặc,,235000
PLY-0028,Puly truyền động,Puly 3B,Puly 3B Dày Ø120mm,Đường kính: 120mm | Loại: 3B Dày,,220000
PLY-0029,Puly truyền động,Puly 4B,Puly 4B Ø120mm,Đường kính: 120mm | Loại: 4B,,330000
PLY-0030,Puly truyền động,Puly 1B,Puly 1B Dày Ø130mm,Đường kính: 130mm | Loại: 1B Dày,,110000
PLY-0031,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø130mm,Đường kính: 130mm | Loại: 1B Mỏng,,85000
PLY-0032,Puly truyền động,Puly 2B,Puly 2B Đặc Ø130mm,Đường kính: 130mm | Loại: 2B Đặc,,200000
PLY-0033,Puly truyền động,Puly 2B,Puly 2B Dày Ø130mm,Đường kính: 130mm | Loại: 2B Dày,,130000
PLY-0034,Puly truyền động,Puly 3B,Puly 3B Đặc Ø130mm,Đường kính: 130mm | Loại: 3B Đặc,,310000
PLY-0035,Puly truyền động,Puly 3B,Puly 3B Dày Ø130mm,Đường kính: 130mm | Loại: 3B Dày,,275000
PLY-0036,Puly truyền động,Puly 1B,Puly 1B Dày Ø140mm,Đường kính: 140mm | Loại: 1B Dày,,115000
PLY-0037,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø140mm,Đường kính: 140mm | Loại: 1B Mỏng,,110000
PLY-0038,Puly truyền động,Puly 2B,Puly 2B Đặc Ø140mm,Đường kính: 140mm | Loại: 2B Đặc,,240000
PLY-0039,Puly truyền động,Puly 2B,Puly 2B Dày Ø140mm,Đường kính: 140mm | Loại: 2B Dày,,150000
PLY-0040,Puly truyền động,Puly 3B,Puly 3B Đặc Ø140mm,Đường kính: 140mm | Loại: 3B Đặc,,355000
PLY-0041,Puly truyền động,Puly 3B,Puly 3B Dày Ø140mm,Đường kính: 140mm | Loại: 3B Dày,,330000
PLY-0042,Puly truyền động,Puly 4B,Puly 4B Ø140mm,Đường kính: 140mm | Loại: 4B,,530000
PLY-0043,Puly truyền động,Puly 1B,Puly 1B Dày Ø150mm,Đường kính: 150mm | Loại: 1B Dày,,120000
PLY-0044,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø150mm,Đường kính: 150mm | Loại: 1B Mỏng,,115000
PLY-0045,Puly truyền động,Puly 2B,Puly 2B Đặc Ø150mm,Đường kính: 150mm | Loại: 2B Đặc,,265000
PLY-0046,Puly truyền động,Puly 2B,Puly 2B Dày Ø150mm,Đường kính: 150mm | Loại: 2B Dày,,175000
PLY-0047,Puly truyền động,Puly 3B,Puly 3B Đặc Ø150mm,Đường kính: 150mm | Loại: 3B Đặc,,385000
PLY-0048,Puly truyền động,Puly 3B,Puly 3B Dày Ø150mm,Đường kính: 150mm | Loại: 3B Dày,,360000
PLY-0049,Puly truyền động,Puly 4B,Puly 4B Ø150mm,Đường kính: 150mm | Loại: 4B,,575000
PLY-0050,Puly truyền động,Puly 1B,Puly 1B Dày Ø160mm,Đường kính: 160mm | Loại: 1B Dày,,130000
PLY-0051,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø160mm,Đường kính: 160mm | Loại: 1B Mỏng,,120000
PLY-0052,Puly truyền động,Puly 2B,Puly 2B Đặc Ø160mm,Đường kính: 160mm | Loại: 2B Đặc,,355000
PLY-0053,Puly truyền động,Puly 2B,Puly 2B Dày Ø160mm,Đường kính: 160mm | Loại: 2B Dày,,220000
PLY-0054,Puly truyền động,Puly 3B,Puly 3B Đặc Ø160mm,Đường kính: 160mm | Loại: 3B Đặc,,445000
PLY-0055,Puly truyền động,Puly 3B,Puly 3B Dày Ø160mm,Đường kính: 160mm | Loại: 3B Dày,,385000
PLY-0056,Puly truyền động,Puly 4B,Puly 4B Ø160mm,Đường kính: 160mm | Loại: 4B,,605000
PLY-0057,Puly truyền động,Puly 1B,Puly 1B Dày Ø180mm,Đường kính: 180mm | Loại: 1B Dày,,145000
PLY-0058,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø180mm,Đường kính: 180mm | Loại: 1B Mỏng,,125000
PLY-0059,Puly truyền động,Puly 2B,Puly 2B Đặc Ø180mm,Đường kính: 180mm | Loại: 2B Đặc,,495000
PLY-0060,Puly truyền động,Puly 2B,Puly 2B Dày Ø180mm,Đường kính: 180mm | Loại: 2B Dày,,240000
PLY-0061,Puly truyền động,Puly 3B,Puly 3B Đặc Ø180mm,Đường kính: 180mm | Loại: 3B Đặc,,545000
PLY-0062,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø180mm,Đường kính: 180mm | Loại: 3B Dĩa,,320000
PLY-0063,Puly truyền động,Puly 3B,Puly 3B Dày Ø180mm,Đường kính: 180mm | Loại: 3B Dày,,395000
PLY-0064,Puly truyền động,Puly 4B,Puly 4B Ø180mm,Đường kính: 180mm | Loại: 4B,,665000
PLY-0065,Puly truyền động,Puly 1B,Puly 1B Dày Ø200mm,Đường kính: 200mm | Loại: 1B Dày,,155000
PLY-0066,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø200mm,Đường kính: 200mm | Loại: 1B Mỏng,,130000
PLY-0067,Puly truyền động,Puly 2B,Puly 2B Đặc Ø200mm,Đường kính: 200mm | Loại: 2B Đặc,,580000
PLY-0068,Puly truyền động,Puly 2B,Puly 2B Dày Ø200mm,Đường kính: 200mm | Loại: 2B Dày,,265000
PLY-0069,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø200mm,Đường kính: 200mm | Loại: 3B Dĩa,,355000
PLY-0070,Puly truyền động,Puly 3B,Puly 3B Dày Ø200mm,Đường kính: 200mm | Loại: 3B Dày,,440000
PLY-0071,Puly truyền động,Puly 4B,Puly 4B Ø200mm,Đường kính: 200mm | Loại: 4B,,700000
PLY-0072,Puly truyền động,Puly 1B,Puly 1B Dày Ø220mm,Đường kính: 220mm | Loại: 1B Dày,,175000
PLY-0073,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø220mm,Đường kính: 220mm | Loại: 1B Mỏng,,155000
PLY-0074,Puly truyền động,Puly 2B,Puly 2B Đặc Ø220mm,Đường kính: 220mm | Loại: 2B Đặc,,715000
PLY-0075,Puly truyền động,Puly 2B,Puly 2B Dày Ø220mm,Đường kính: 220mm | Loại: 2B Dày,,319000
PLY-0076,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø220mm,Đường kính: 220mm | Loại: 3B Dĩa,,420000
PLY-0077,Puly truyền động,Puly 3B,Puly 3B Dày Ø220mm,Đường kính: 220mm | Loại: 3B Dày,,485000
PLY-0078,Puly truyền động,Puly 4B,Puly 4B Ø220mm,Đường kính: 220mm | Loại: 4B,,770000
PLY-0079,Puly truyền động,Puly 1B,Puly 1B Dày Ø250mm,Đường kính: 250mm | Loại: 1B Dày,,200000
PLY-0080,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø250mm,Đường kính: 250mm | Loại: 1B Mỏng,,170000
PLY-0081,Puly truyền động,Puly 2B,Puly 2B Đặc Ø250mm,Đường kính: 250mm | Loại: 2B Đặc,,895000
PLY-0082,Puly truyền động,Puly 2B,Puly 2B Dày Ø250mm,Đường kính: 250mm | Loại: 2B Dày,,335000
PLY-0083,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø250mm,Đường kính: 250mm | Loại: 3B Dĩa,,460000
PLY-0084,Puly truyền động,Puly 3B,Puly 3B Dày Ø250mm,Đường kính: 250mm | Loại: 3B Dày,,405000
PLY-0085,Puly truyền động,Puly 4B,Puly 4B Ø250mm,Đường kính: 250mm | Loại: 4B,,845000
PLY-0086,Puly truyền động,Puly 1B,Puly 1B Dày Ø280mm,Đường kính: 280mm | Loại: 1B Dày,,230000
PLY-0087,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø280mm,Đường kính: 280mm | Loại: 1B Mỏng,,210000
PLY-0088,Puly truyền động,Puly 2B,Puly 2B Dày Ø280mm,Đường kính: 280mm | Loại: 2B Dày,,410000
PLY-0089,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø280mm,Đường kính: 280mm | Loại: 3B Dĩa,,530000
PLY-0090,Puly truyền động,Puly 3B,Puly 3B Dày Ø280mm,Đường kính: 280mm | Loại: 3B Dày,,540000
PLY-0091,Puly truyền động,Puly 1B,Puly 1B Dày Ø300mm,Đường kính: 300mm | Loại: 1B Dày,,240000
PLY-0092,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø300mm,Đường kính: 300mm | Loại: 1B Mỏng,,230000
PLY-0093,Puly truyền động,Puly 2B,Puly 2B Dày Ø300mm,Đường kính: 300mm | Loại: 2B Dày,,450000
PLY-0094,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø300mm,Đường kính: 300mm | Loại: 3B Dĩa,,565000
PLY-0095,Puly truyền động,Puly 3B,Puly 3B Dày Ø300mm,Đường kính: 300mm | Loại: 3B Dày,,665000
PLY-0096,Puly truyền động,Puly 4B,Puly 4B Ø300mm,Đường kính: 300mm | Loại: 4B,,1180000
PLY-0097,Puly truyền động,Puly 1B,Puly 1B Dày Ø350mm,Đường kính: 350mm | Loại: 1B Dày,,285000
PLY-0098,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø350mm,Đường kính: 350mm | Loại: 1B Mỏng,,240000
PLY-0099,Puly truyền động,Puly 2B,Puly 2B Dày Ø350mm,Đường kính: 350mm | Loại: 2B Dày,,520000
PLY-0100,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø350mm,Đường kính: 350mm | Loại: 3B Dĩa,,650000
PLY-0101,Puly truyền động,Puly 3B,Puly 3B Dày Ø350mm,Đường kính: 350mm | Loại: 3B Dày,,825000
PLY-0102,Puly truyền động,Puly 4B,Puly 4B Ø350mm,Đường kính: 350mm | Loại: 4B,,1330000
PLY-0103,Puly truyền động,Puly 1B,Puly 1B Dày Ø400mm,Đường kính: 400mm | Loại: 1B Dày,,310000
PLY-0104,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø400mm,Đường kính: 400mm | Loại: 1B Mỏng,,265000
PLY-0105,Puly truyền động,Puly 2B,Puly 2B Dày Ø400mm,Đường kính: 400mm | Loại: 2B Dày,,690000
PLY-0106,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø400mm,Đường kính: 400mm | Loại: 3B Dĩa,,815000
PLY-0107,Puly truyền động,Puly 3B,Puly 3B Dày Ø400mm,Đường kính: 400mm | Loại: 3B Dày,,1010000
PLY-0108,Puly truyền động,Puly 1B,Puly 1B Dày Ø450mm,Đường kính: 450mm | Loại: 1B Dày,,320000
PLY-0109,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø450mm,Đường kính: 450mm | Loại: 1B Mỏng,,290000
PLY-0110,Puly truyền động,Puly 2B,Puly 2B Dày Ø450mm,Đường kính: 450mm | Loại: 2B Dày,,750000
PLY-0111,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø450mm,Đường kính: 450mm | Loại: 3B Dĩa,,1065000
PLY-0112,Puly truyền động,Puly 3B,Puly 3B Dày Ø450mm,Đường kính: 450mm | Loại: 3B Dày,,1090000
PLY-0113,Puly truyền động,Puly 1B,Puly 1B Dày Ø500mm,Đường kính: 500mm | Loại: 1B Dày,,375000
PLY-0114,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø500mm,Đường kính: 500mm | Loại: 1B Mỏng,,330000
PLY-0115,Puly truyền động,Puly 2B,Puly 2B Dày Ø500mm,Đường kính: 500mm | Loại: 2B Dày,,835000
PLY-0116,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø500mm,Đường kính: 500mm | Loại: 3B Dĩa,,1245000
PLY-0117,Puly truyền động,Puly 2B,Puly 2B Dày Ø550mm,Đường kính: 550mm | Loại: 2B Dày,,1160000
PLY-0118,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø550mm,Đường kính: 550mm | Loại: 3B Dĩa,,1420000
PLY-0119,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø600mm,Đường kính: 600mm | Loại: 1B Mỏng,,520000
PLY-0120,Puly truyền động,Puly 2B,Puly 2B Dày Ø600mm,Đường kính: 600mm | Loại: 2B Dày,,1210000
PLY-0121,Puly truyền động,Puly 3B,Puly 3B Dĩa Ø600mm,Đường kính: 600mm | Loại: 3B Dĩa,,1450000
PLY-0122,Puly truyền động,Puly 5B,Puly 5B Đặc Ø100mm,Đường kính: 100mm | Loại: 5B Đặc,,380000
PLY-0123,Puly truyền động,Puly 3C,Puly 3C Đặc Ø100mm,Đường kính: 100mm | Loại: 3C Đặc,,285000
PLY-0124,Puly truyền động,Puly 4C,Puly 4C Đặc Ø100mm,Đường kính: 100mm | Loại: 4C Đặc,,435000
PLY-0125,Puly truyền động,Puly 5C,Puly 5C Đặc Ø100mm,Đường kính: 100mm | Loại: 5C Đặc,,545000
PLY-0126,Puly truyền động,Puly 5B,Puly 5B Đặc Ø110mm,Đường kính: 110mm | Loại: 5B Đặc,,450000
PLY-0127,Puly truyền động,Puly 2C,Puly 2C Ø110mm,Đường kính: 110mm | Loại: 2C,,260000
PLY-0128,Puly truyền động,Puly 3C,Puly 3C Đặc Ø110mm,Đường kính: 110mm | Loại: 3C Đặc,,310000
PLY-0129,Puly truyền động,Puly 4C,Puly 4C Đặc Ø110mm,Đường kính: 110mm | Loại: 4C Đặc,,445000
PLY-0130,Puly truyền động,Puly 5C,Puly 5C Đặc Ø110mm,Đường kính: 110mm | Loại: 5C Đặc,,605000
PLY-0131,Puly truyền động,Puly 5B,Puly 5B Đặc Ø120mm,Đường kính: 120mm | Loại: 5B Đặc,,480000
PLY-0132,Puly truyền động,Puly 3C,Puly 3C Đặc Ø120mm,Đường kính: 120mm | Loại: 3C Đặc,,380000
PLY-0133,Puly truyền động,Puly 4C,Puly 4C Đặc Ø120mm,Đường kính: 120mm | Loại: 4C Đặc,,515000
PLY-0134,Puly truyền động,Puly 5C,Puly 5C Đặc Ø120mm,Đường kính: 120mm | Loại: 5C Đặc,,800000
PLY-0135,Puly truyền động,Puly 5B,Puly 5B Đặc Ø130mm,Đường kính: 130mm | Loại: 5B Đặc,,560000
PLY-0136,Puly truyền động,Puly 3C,Puly 3C Đặc Ø130mm,Đường kính: 130mm | Loại: 3C Đặc,,405000
PLY-0137,Puly truyền động,Puly 4C,Puly 4C Đặc Ø130mm,Đường kính: 130mm | Loại: 4C Đặc,,685000
PLY-0138,Puly truyền động,Puly 5C,Puly 5C Đặc Ø130mm,Đường kính: 130mm | Loại: 5C Đặc,,845000
PLY-0139,Puly truyền động,Puly 5B,Puly 5B Đặc Ø140mm,Đường kính: 140mm | Loại: 5B Đặc,,690000
PLY-0140,Puly truyền động,Puly 3C,Puly 3C Đặc Ø140mm,Đường kính: 140mm | Loại: 3C Đặc,,485000
PLY-0141,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø140mm,Đường kính: 140mm | Loại: 3C Dĩa,,300000
PLY-0142,Puly truyền động,Puly 4C,Puly 4C Đặc Ø140mm,Đường kính: 140mm | Loại: 4C Đặc,,825000
PLY-0143,Puly truyền động,Puly 5C,Puly 5C Đặc Ø140mm,Đường kính: 140mm | Loại: 5C Đặc,,930000
PLY-0144,Puly truyền động,Puly 5B,Puly 5B Đặc Ø150mm,Đường kính: 150mm | Loại: 5B Đặc,,785000
PLY-0145,Puly truyền động,Puly 3C,Puly 3C Đặc Ø150mm,Đường kính: 150mm | Loại: 3C Đặc,,515000
PLY-0146,Puly truyền động,Puly 4C,Puly 4C Đặc Ø150mm,Đường kính: 150mm | Loại: 4C Đặc,,860000
PLY-0147,Puly truyền động,Puly 5C,Puly 5C Đặc Ø150mm,Đường kính: 150mm | Loại: 5C Đặc,,1040000
PLY-0148,Puly truyền động,Puly 5B,Puly 5B Đặc Ø160mm,Đường kính: 160mm | Loại: 5B Đặc,,880000
PLY-0149,Puly truyền động,Puly 2C,Puly 2C Ø160mm,Đường kính: 160mm | Loại: 2C,,360000
PLY-0150,Puly truyền động,Puly 3C,Puly 3C Đặc Ø160mm,Đường kính: 160mm | Loại: 3C Đặc,,555500
PLY-0151,Puly truyền động,Puly 4C,Puly 4C Đặc Ø160mm,Đường kính: 160mm | Loại: 4C Đặc,,945000
PLY-0152,Puly truyền động,Puly 5C,Puly 5C Đặc Ø160mm,Đường kính: 160mm | Loại: 5C Đặc,,1120000
PLY-0153,Puly truyền động,Puly 5B,Puly 5B Đặc Ø170mm,Đường kính: 170mm | Loại: 5B Đặc,,925000
PLY-0154,Puly truyền động,Puly 3C,Puly 3C Đặc Ø170mm,Đường kính: 170mm | Loại: 3C Đặc,,665000
PLY-0155,Puly truyền động,Puly 4C,Puly 4C Đặc Ø170mm,Đường kính: 170mm | Loại: 4C Đặc,,1120000
PLY-0156,Puly truyền động,Puly 5C,Puly 5C Đặc Ø170mm,Đường kính: 170mm | Loại: 5C Đặc,,1240000
PLY-0157,Puly truyền động,Puly 5B,Puly 5B Đặc Ø180mm,Đường kính: 180mm | Loại: 5B Đặc,,945000
PLY-0158,Puly truyền động,Puly 2C,Puly 2C Ø180mm,Đường kính: 180mm | Loại: 2C,,445000
PLY-0159,Puly truyền động,Puly 3C,Puly 3C Đặc Ø180mm,Đường kính: 180mm | Loại: 3C Đặc,,685000
PLY-0160,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø180mm,Đường kính: 180mm | Loại: 3C Dĩa,,605000
PLY-0161,Puly truyền động,Puly 4C,Puly 4C Đặc Ø180mm,Đường kính: 180mm | Loại: 4C Đặc,,1210000
PLY-0162,Puly truyền động,Puly 5C,Puly 5C Đặc Ø180mm,Đường kính: 180mm | Loại: 5C Đặc,,1285000
PLY-0163,Puly truyền động,Puly 5B,Puly 5B Đặc Ø200mm,Đường kính: 200mm | Loại: 5B Đặc,,980000
PLY-0164,Puly truyền động,Puly 2C,Puly 2C Ø200mm,Đường kính: 200mm | Loại: 2C,,505000
PLY-0165,Puly truyền động,Puly 3C,Puly 3C Đặc Ø200mm,Đường kính: 200mm | Loại: 3C Đặc,,860000
PLY-0166,Puly truyền động,Puly 4C,Puly 4C Đặc Ø200mm,Đường kính: 200mm | Loại: 4C Đặc,,1375000
PLY-0167,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø200mm,Đường kính: 200mm | Loại: 4C Dĩa,,880000
PLY-0168,Puly truyền động,Puly 5C,Puly 5C Đặc Ø200mm,Đường kính: 200mm | Loại: 5C Đặc,,1340000
PLY-0169,Puly truyền động,Puly 5B,Puly 5B Đặc Ø210mm,Đường kính: 210mm | Loại: 5B Đặc,,1080000
PLY-0170,Puly truyền động,Puly 3C,Puly 3C Đặc Ø210mm,Đường kính: 210mm | Loại: 3C Đặc,,1090000
PLY-0171,Puly truyền động,Puly 4C,Puly 4C Đặc Ø210mm,Đường kính: 210mm | Loại: 4C Đặc,,1460000
PLY-0172,Puly truyền động,Puly 5C,Puly 5C Đặc Ø210mm,Đường kính: 210mm | Loại: 5C Đặc,,1650000
PLY-0173,Puly truyền động,Puly 5B,Puly 5B Đặc Ø220mm,Đường kính: 220mm | Loại: 5B Đặc,,1210000
PLY-0174,Puly truyền động,Puly 2C,Puly 2C Ø220mm,Đường kính: 220mm | Loại: 2C,,545000
PLY-0175,Puly truyền động,Puly 3C,Puly 3C Đặc Ø220mm,Đường kính: 220mm | Loại: 3C Đặc,,1120000
PLY-0176,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø220mm,Đường kính: 220mm | Loại: 3C Dĩa,,935000
PLY-0177,Puly truyền động,Puly 4C,Puly 4C Đặc Ø220mm,Đường kính: 220mm | Loại: 4C Đặc,,1640000
PLY-0178,Puly truyền động,Puly 5C,Puly 5C Đặc Ø220mm,Đường kính: 220mm | Loại: 5C Đặc,,1890000
PLY-0179,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø250mm,Đường kính: 250mm | Loại: 5B Dĩa,,1210000
PLY-0180,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø250mm,Đường kính: 250mm | Loại: 3C Dĩa,,770000
PLY-0181,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø250mm,Đường kính: 250mm | Loại: 4C Dĩa,,1210000
PLY-0182,Puly truyền động,Puly 5C,Puly 5C Đặc Ø250mm,Đường kính: 250mm | Loại: 5C Đặc,,2340000
PLY-0183,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø260mm,Đường kính: 260mm | Loại: 4C Dĩa,,1285000
PLY-0184,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø280mm,Đường kính: 280mm | Loại: 5B Dĩa,,1540000
PLY-0185,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø280mm,Đường kính: 280mm | Loại: 3C Dĩa,,945000
PLY-0186,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø280mm,Đường kính: 280mm | Loại: 4C Dĩa,,1545000
PLY-0187,Puly truyền động,Puly 5C,Puly 5C Dĩa Ø280mm,Đường kính: 280mm | Loại: 5C Dĩa,,1725000
PLY-0188,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø300mm,Đường kính: 300mm | Loại: 5B Dĩa,,1630000
PLY-0189,Puly truyền động,Puly 2C,Puly 2C Ø300mm,Đường kính: 300mm | Loại: 2C,,605000
PLY-0190,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø300mm,Đường kính: 300mm | Loại: 3C Dĩa,,970000
PLY-0191,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø300mm,Đường kính: 300mm | Loại: 4C Dĩa,,1650000
PLY-0192,Puly truyền động,Puly 5C,Puly 5C Dĩa Ø300mm,Đường kính: 300mm | Loại: 5C Dĩa,,1890000
PLY-0193,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø320mm,Đường kính: 320mm | Loại: 5B Dĩa,,1725000
PLY-0194,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø320mm,Đường kính: 320mm | Loại: 3C Dĩa,,1040000
PLY-0195,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø320mm,Đường kính: 320mm | Loại: 4C Dĩa,,1725000
PLY-0196,Puly truyền động,Puly 5C,Puly 5C Dĩa Ø320mm,Đường kính: 320mm | Loại: 5C Dĩa,,2065000
PLY-0197,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø350mm,Đường kính: 350mm | Loại: 5B Dĩa,,1815000
PLY-0198,Puly truyền động,Puly 2C,Puly 2C Ø350mm,Đường kính: 350mm | Loại: 2C,,1150000
PLY-0199,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø350mm,Đường kính: 350mm | Loại: 3C Dĩa,,1290000
PLY-0200,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø350mm,Đường kính: 350mm | Loại: 4C Dĩa,,1815000
PLY-0201,Puly truyền động,Puly 5C,Puly 5C Dĩa Ø350mm,Đường kính: 350mm | Loại: 5C Dĩa,,2250000
PLY-0202,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø380mm,Đường kính: 380mm | Loại: 5B Dĩa,,1980000
PLY-0203,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø380mm,Đường kính: 380mm | Loại: 3C Dĩa,,1375000
PLY-0204,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø380mm,Đường kính: 380mm | Loại: 4C Dĩa,,2065000
PLY-0205,Puly truyền động,Puly 5C,Puly 5C Dĩa Ø380mm,Đường kính: 380mm | Loại: 5C Dĩa,,2420000
PLY-0206,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø400mm,Đường kính: 400mm | Loại: 5B Dĩa,,2155000
PLY-0207,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø400mm,Đường kính: 400mm | Loại: 3C Dĩa,,1550000
PLY-0208,Puly truyền động,Puly 4C,Puly 4C Dĩa Ø400mm,Đường kính: 400mm | Loại: 4C Dĩa,,2150000
PLY-0209,Puly truyền động,Puly 5C,Puly 5C Dĩa Ø400mm,Đường kính: 400mm | Loại: 5C Dĩa,,2760000
PLY-0210,Puly truyền động,Puly 5B,Puly 5B Dĩa Ø420mm,Đường kính: 420mm | Loại: 5B Dĩa,,2240000
PLY-0211,Puly truyền động,Puly 3C,Puly 3C Dĩa Ø420mm,Đường kính: 420mm | Loại: 3C Dĩa,,1725000
